compound,moa,SMILES,MolecularWeight,Min_Concentration,Max_Concentration
PP-2,Epithelial,CC(C)(C)n1nc(c2ccc(Cl)cc2)c3c(N)ncnc13,301.781,0.01,30.0
emetine,Protein synthesis,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC4NCCc5cc(OC)c(OC)cc45,480.64900000000034,0.01,30.0
AZ258,Aurora kinase inhibitors,COc1cc(OC[C@H]2CCCN2)c3c(Nc4cnn(CC(=O)Nc5cccc(F)c5F)c4)ncnc3c1,509.51700000000017,0.01,30.0
cytochalasin B,Actin disruptors,C[C@@H]1CCC[C@@H](O)\\C=C\\C(=O)O[C@]23[C@@H](\\C=C\\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O,479.6170000000002,0.01,30.0
ALLN,Protein degradation,CCCCC(NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)C)C=O,383.5330000000001,0.03,100.0
mitoxantrone,DNA replication,OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12,444.4880000000002,0.003,10.0
MG-132,Protein degradation,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C=O,475.63000000000017,0.03,100.0
AZ841,Aurora kinase inhibitors,CCOc1cc(OC[C@H]2CCCN2)c3c(Nc4cnn(CC(=O)Nc5cccc(F)c5F)c4)ncnc3c1,523.5440000000002,0.01,30.0
docetaxel,Microtubule stabilizers,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c6ccccc6)C(=C([C@@H](O)C3=O)C5(C)C)C,807.89,0.0003,1.0
mitomycin C,DNA damage,COC12C3NC3CN1C4=C(C2COC(=O)N)C(=O)C(=C(C)C4=O)N,334.3320000000001,0.003,10.0
PD-169316,Kinase inhibitors,[O-][N+](=O)c1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,360.348,0.01,30.0
proteasome inhibitor I,Protein degradation,CCC(C)C(NC(=O)OCc1ccccc1)C(=O)NC(CCC(=O)OC(C)(C)C)C(=O)NC(C)C(=O)NC(CC(C)C)C=O,618.7720000000003,0.003,10.0
vincristine,Microtubule destabilizers,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C=O)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,824.972,0.003,10.0
