compound,SMILES,MolecularWeight,Min_Concentration,Max_Concentration
dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,392.4670000000002,0.015,50.0
dexamethasone,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,392.4670000000002,0.015,50.0
AR-12,NCC(=O)Nc1ccc(cc1)-n1nc(cc1-c1ccc2c(ccc3ccccc23)c1)C(F)(F)F,460.4590000000001,0.015,50.0
dalfampridine,Nc1ccncc1,94.11699999999999,0.015,50.0
buparlisib,Nc1cc(c(cn1)-c1cc(nc(n1)N1CCOCC1)N1CCOCC1)C(F)(F)F,410.40000000000015,0.015,50.0
misoprostol,CCCCC(C)(O)C\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,382.5410000000003,0.015,50.0
glyburide,COc1ccc(Cl)cc1C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1,494.0130000000003,0.015,50.0
sacubitril,CCOC(=O)[C@H](C)C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)CCC(O)=O,411.49800000000016,0.015,50.0
danusertib,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(cc3)N3CCN(C)CC3)c2C1)c1ccccc1,474.56500000000034,0.015,50.0
PHA-793887,CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C,361.4900000000002,0.015,50.0
desonide,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,416.51400000000024,0.015,50.0
azathioprine,Cn1cnc(c1Sc1[nH]cnc2ncnc12)[N+]([O-])=O,277.26900000000006,0.015,50.0
BI-2536,CC[C@H]1N(C2CCCC2)c2nc(Nc3ccc(cc3OC)C(=O)NC3CCN(C)CC3)ncc2N(C)C1=O,521.6660000000004,0.015,50.0
sulfinpyrazone,O=C1C(CCS(=O)c2ccccc2)C(=O)N(N1c1ccccc1)c1ccccc1,404.4910000000001,0.015,50.0
racecadotril,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,385.4850000000002,0.015,50.0
thioguanine,Nc1nc2nc[nH]c2c(=S)[nH]1,167.197,0.015,50.0
sulfasalazine,OC(=O)c1cc(ccc1O)\N=N\c1ccc(cc1)S(=O)(=O)Nc1ccccn1,398.4000000000001,0.015,50.0
felodipine,CCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(Cl)c1Cl)C(=O)OC,384.2590000000001,0.015,50.0
paliperidone,Cc1nc2C(O)CCCn2c(=O)c1CCN1CCC(CC1)c1noc2cc(F)ccc12,426.49200000000013,0.015,50.0
sorbinil,Fc1ccc2OCCC3(NC(=O)NC3=O)c2c1,236.202,0.015,50.0
briciclib,COc1cc(OC)c(\C=C\S(=O)(=O)Cc2ccc(OC)c(OP(O)(O)=O)c2)c(OC)c1,474.4240000000002,0.015,50.0
azacitidine,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,244.207,0.015,50.0
filgotinib,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,425.5140000000002,0.015,50.0
nilvadipine,COC(=O)C1=C(NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC(C)C)C#N,385.3760000000002,0.015,50.0
acetohexamide,CC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1,324.40200000000016,0.015,50.0
CP-724714,COCC(=O)NC\C=C\c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1,469.54500000000024,0.015,50.0
leflunomide,Cc1oncc1C(=O)Nc1ccc(cc1)C(F)(F)F,270.21,0.015,50.0
ixabepilone,C[C@H]1CCC[C@@]2(C)O[C@H]2C[C@H](NC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)C(\C)=C\c1csc(C)n1,506.70900000000023,0.015,50.0
enflurane,FC(F)OC(F)(F)C(F)Cl,184.491,0.015,50.0
sotrastaurin,CN1CCN(CC1)c1nc(C2=C(C(=O)NC2=O)c2c[nH]c3ccccc23)c2ccccc2n1,438.4910000000001,0.015,50.0
cycloheximide,C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC1CC(=O)NC(=O)C1,281.35200000000003,0.015,50.0
